Назва товару,Ціна,Стан,Дата публікації,Місто,Район,Координати на карті,Продавець,Магазин,Посилання на оголошення
Велосипед KTM Strada Master Specialized Cannondale Canyon Merida BMC,95 000 грн.,Б/у,2022-03-17,Киев,Днепровский,"50.45964, 30.61717",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-ktm-strada-master-specialized-cannondale-canyon-merida-bmc-IDOigHJ.html
Циклокрос\ гравел BMC URS Two Gravel Bike Shima GRX Di2,97 157 грн.,Новый,2022-05-09,Львов,Франковский,"49.839, 23.995",Виталик,VeloLive,https://www.olx.ua/d/obyavlenie/tsiklokros-gravel-bmc-urs-two-gravel-bike-shima-grx-di2-IDOzBeg.html
29x3.0 Salsa Fargo Custom гравийный монстеркросс гравел гравийник,99 999 грн.,Б/у,2022-04-09,Хмельницкий,,"49.40611, 27.0045",Продавец,,https://www.olx.ua/d/obyavlenie/29x3-0-salsa-fargo-custom-graviynyy-monsterkross-gravel-graviynik-IDOnYZP.html
Карбоновый гравийник Gravel Cinelli King Zudeco!ВІЙСЬКОВИМ ЗНИЖКА!,109 200 грн.,Б/у,2021-11-17,Киев,Голосеевский,"50.35684, 30.51985",Александр,ROWER LIFE,https://www.olx.ua/d/obyavlenie/karbonovyy-graviynik-gravel-cinelli-king-zudeco-vyskovim-znizhka-IDNlzVR.html
"Велосипед циклокросс гравийник, gravel, cx, merida",16 000 грн.,Б/у,2022-02-03,Луганск,Жовтневый,"48.574, 39.308",Кирилл,,https://www.olx.ua/d/obyavlenie/velosiped-tsiklokross-graviynik-gravel-cx-merida-IDO4aj6.html
"Gravel Giant Toughtroad гревел, туринг",19 500 грн.,Б/у,2022-05-29,Сумы,,"50.9074, 34.80236",Роман,,https://www.olx.ua/d/obyavlenie/gravel-giant-toughtroad-grevel-turing-IDOJVEH.html
Туринг Bulls Daily гравел циклокрос из Германии (как новый),20 967 грн.,Б/у,2021-12-19,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/turing-bulls-daily-gravel-tsiklokros-iz-germanii-kak-novyy-IDNFHWW.html
Cannondale topstone carbon lefty 3 SIZE - M,110 582 грн.,Новый,2022-05-20,Кропивницкий,Подольский,"48.49354, 32.29581",Женя,,https://www.olx.ua/d/obyavlenie/cannondale-topstone-carbon-lefty-3-size-m-IDOEU9W.html
Велосипед Trek Boone 7 2020 цыклокросс gravel scott specialized canyon,115 171 грн.,Б/у,2021-05-23,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-trek-boone-7-2020-tsyklokross-gravel-scott-specialized-canyon-IDLI2Yl.html
"Specialized turbo Creo SL (элетро велосипед, гравел, шоссе)",125 000 грн.,Б/у,2021-10-14,Харьков,Шевченковский,"50.045, 36.221",Ярослав,,https://www.olx.ua/d/obyavlenie/specialized-turbo-creo-sl-eletro-velosiped-gravel-shosse-IDN1q5n.html
Cervelo aspero new 2022 gravel carbon grx di2 scott trek bmc 3t canyon,155 000 грн.,Новый,2022-04-03,Ивано-Франковск,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/obyavlenie/cervelo-aspero-new-2022-gravel-carbon-grx-di2-scott-trek-bmc-3t-canyon-IDOmgJm.html
Cervelo aspero 5 force etap axs carbon gravel new scott bmc trek cube,165 000 грн.,Новый,2022-03-29,Ивано-Франковск,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/obyavlenie/cervelo-aspero-5-force-etap-axs-carbon-gravel-new-scott-bmc-trek-cube-IDOkIIg.html
3T exploro max Eagle axs new carbon gravel cervelo bmc scott trek,189 000 грн.,Новый,2022-04-15,Ивано-Франковск,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/obyavlenie/3t-exploro-max-eagle-axs-new-carbon-gravel-cervelo-bmc-scott-trek-IDOqfnh.html
"Гравел CUBE NUROAD PRO FE (2021)Carbon/Tiagra,велосипед Gravel",24 200 грн.,Б/у,2022-05-22,Каменка-Бугская,,"50.09947, 24.34957",Олег,ВелоДруг,https://www.olx.ua/d/obyavlenie/gravel-cube-nuroad-pro-fe-2021carbon-tiagra-velosiped-gravel-IDOGhQ2.html
"Топовый велосипед Canyon R096 RoadLite SL гравел, шоссейный urban",29 236 грн.,Б/у,2021-12-30,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/topovyy-velosiped-canyon-r096-roadlite-sl-gravel-shosseynyy-urban-IDNLz31.html
